subcategory_1,subcategory_2,similarity
Boat Tours & Water Sports,Water & Amusement Parks,0.7133487462997437
Boat Tours & Water Sports,Casinos & Gambling,0.6495863199234009
Casinos & Gambling,Water & Amusement Parks,0.618299126625061
Nature & Parks,Water & Amusement Parks,0.5989333987236023
Nature & Parks,Zoos & Aquariums,0.5857743620872498
Casinos & Gambling,Zoos & Aquariums,0.5793495774269104
Tours,Traveler Resources,0.5767859220504761
Boat Tours & Water Sports,Nature & Parks,0.571105420589447
Casinos & Gambling,Nature & Parks,0.5558577179908752
Boat Tours & Water Sports,Spas & Wellness,0.5425191521644592
Spas & Wellness,Water & Amusement Parks,0.5424723029136658
Nature & Parks,Spas & Wellness,0.5220867395401001
Sights & Landmarks,Zoos & Aquariums,0.5124579668045044
Spas & Wellness,Zoos & Aquariums,0.51239413022995
Casinos & Gambling,Spas & Wellness,0.5119740962982178
Boat Tours & Water Sports,Tours,0.5068645477294922
Casinos & Gambling,Sights & Landmarks,0.5020053386688232
Water & Amusement Parks,Zoos & Aquariums,0.48671406507492065
Boat Tours & Water Sports,Zoos & Aquariums,0.4792434275150299
Boat Tours & Water Sports,Transportation,0.47822749614715576
Fun & Games,Nature & Parks,0.4677809476852417
Fun & Games,Water & Amusement Parks,0.4665733575820923
Outdoor Activities,Tours,0.4537951350212097
Nature & Parks,Shopping,0.4475107491016388
Classes & Workshops,Spas & Wellness,0.44353312253952026
Concerts & Shows,Fun & Games,0.4397282600402832
Casinos & Gambling,Fun & Games,0.4383336901664734
Outdoor Activities,Traveler Resources,0.43729913234710693
Casinos & Gambling,Shopping,0.43283140659332275
Outdoor Activities,Zoos & Aquariums,0.42963850498199463
Food & Drink,Outdoor Activities,0.42296311259269714
Outdoor Activities,Shopping,0.4190227687358856
Transportation,Water & Amusement Parks,0.4141126275062561
Transportation,Traveler Resources,0.4128735661506653
Boat Tours & Water Sports,Sights & Landmarks,0.4125964343547821
Fun & Games,Zoos & Aquariums,0.412308931350708
Classes & Workshops,Zoos & Aquariums,0.41164708137512207
Tours,Transportation,0.4062277674674988
Casinos & Gambling,Outdoor Activities,0.40058451890945435
Nature & Parks,Transportation,0.3978807330131531
Boat Tours & Water Sports,Fun & Games,0.3976065218448639
Sights & Landmarks,Traveler Resources,0.39655593037605286
Concerts & Shows,Sights & Landmarks,0.3899461030960083
Nature & Parks,Sights & Landmarks,0.3896278738975525
Boat Tours & Water Sports,Traveler Resources,0.3853105902671814
Casinos & Gambling,Concerts & Shows,0.38405197858810425
Concerts & Shows,Water & Amusement Parks,0.3728039264678955
Outdoor Activities,Sights & Landmarks,0.3721892535686493
Boat Tours & Water Sports,Concerts & Shows,0.3718346357345581
Nature & Parks,Outdoor Activities,0.36923131346702576
Fun & Games,Sights & Landmarks,0.36660462617874146
Shopping,Water & Amusement Parks,0.3663686215877533
Boat Tours & Water Sports,Outdoor Activities,0.365621417760849
Concerts & Shows,Zoos & Aquariums,0.3648471236228943
Concerts & Shows,Nature & Parks,0.3646014928817749
Sights & Landmarks,Tours,0.3591291904449463
Fun & Games,Shopping,0.35259658098220825
Casinos & Gambling,Tours,0.3489256203174591
Casinos & Gambling,Transportation,0.3469642996788025
Classes & Workshops,Outdoor Activities,0.34674960374832153
Sights & Landmarks,Spas & Wellness,0.344929039478302
Shopping,Zoos & Aquariums,0.33818334341049194
Fun & Games,Outdoor Activities,0.33546382188796997
Fun & Games,Spas & Wellness,0.33428651094436646
Museums,Zoos & Aquariums,0.3311903476715088
Shopping,Transportation,0.3287121653556824
Spas & Wellness,Transportation,0.32662779092788696
Tours,Zoos & Aquariums,0.32622942328453064
Nightlife,Transportation,0.3259551525115967
Casinos & Gambling,Nightlife,0.3214540481567383
Casinos & Gambling,Classes & Workshops,0.3209291100502014
Shopping,Spas & Wellness,0.320274293422699
Sights & Landmarks,Water & Amusement Parks,0.31964075565338135
Casinos & Gambling,Traveler Resources,0.3179963231086731
Classes & Workshops,Sights & Landmarks,0.31108802556991577
Food & Drink,Zoos & Aquariums,0.30819621682167053
Boat Tours & Water Sports,Nightlife,0.30305910110473633
Boat Tours & Water Sports,Shopping,0.302959144115448
Traveler Resources,Zoos & Aquariums,0.3021738529205322
Museums,Tours,0.30103063583374023
Food & Drink,Sights & Landmarks,0.3006706237792969
Outdoor Activities,Spas & Wellness,0.29545432329177856
Classes & Workshops,Nature & Parks,0.2945023477077484
Shopping,Sights & Landmarks,0.2791227102279663
Classes & Workshops,Tours,0.27814534306526184
Nightlife,Water & Amusement Parks,0.27634307742118835
Boat Tours & Water Sports,Museums,0.2761443853378296
Museums,Nature & Parks,0.27366912364959717
Museums,Sights & Landmarks,0.272525429725647
Casinos & Gambling,Food & Drink,0.2650678753852844
Boat Tours & Water Sports,Classes & Workshops,0.26251181960105896
Museums,Traveler Resources,0.26233166456222534
Nightlife,Tours,0.2607492208480835
Classes & Workshops,Traveler Resources,0.2604508697986603
Transportation,Zoos & Aquariums,0.258492112159729
Museums,Shopping,0.257174551486969
Concerts & Shows,Spas & Wellness,0.2558252215385437
Spas & Wellness,Traveler Resources,0.25556448101997375
Nightlife,Spas & Wellness,0.2550765872001648
Spas & Wellness,Tours,0.2528396248817444
Food & Drink,Shopping,0.252224862575531
Fun & Games,Transportation,0.24964411556720734
Fun & Games,Traveler Resources,0.24829688668251038
Nature & Parks,Tours,0.24482837319374084
Casinos & Gambling,Museums,0.24360589683055878
Shopping,Traveler Resources,0.2434483766555786
Food & Drink,Fun & Games,0.243024080991745
Boat Tours & Water Sports,Food & Drink,0.2409651279449463
Nightlife,Zoos & Aquariums,0.24012061953544617
Food & Drink,Nature & Parks,0.23615562915802002
Events,Water & Amusement Parks,0.23588591814041138
Classes & Workshops,Events,0.23481492698192596
Food & Drink,Spas & Wellness,0.23071537911891937
