subcategory_1,subcategory_2,similarity
Nature & Wildlife Areas,Nature & Wildlife Tours,0.8617566823959351
Beer Tastings & Tours,Wine Tours & Tastings,0.8501517176628113
Movie Theaters,Theaters,0.8481158018112183
Scenic Walking Areas,Walking Tours,0.784082293510437
Theme Parks,Water Parks,0.7752328515052795
Other Ranches & Farms,Ranches,0.7648279666900635
Art Museums,History Museums,0.7463749647140503
Bike Tours,Bus Tours,0.744331955909729
Parks,Water Parks,0.7409026622772217
Boat Rentals,Gear Rentals,0.7395097613334656
Bike Tours,Horseback Riding Tours,0.7372297048568726
Bike Tours,Biking Trails,0.7192255258560181
Fishing Charters & Tours,Hiking & Camping Tours,0.7085467576980591
Kayaking & Canoeing,River Rafting & Tubing,0.7067183256149292
Art Museums,Specialty Museums,0.7016518115997314
Art Museums,Science Museums,0.6983956694602966
Parks,Theme Parks,0.6887450218200684
Farmers Markets,Farms,0.68525230884552
Natural History Museums,Science Museums,0.6844761967658997
Science Museums,Specialty Museums,0.679437518119812
Bus Tours,Bus Transportation,0.6786642670631409
Equestrian Trails,Horseback Riding Tours,0.6779778599739075
Hiking & Camping Tours,Wine Tours & Tastings,0.674903392791748
Ski & Snow Tours,Ski & Snowboard Areas,0.6686471700668335
History Museums,Specialty Museums,0.6650787591934204
Gear Rentals,Marinas,0.6599692106246948
Helicopter Tours,Photography Tours,0.6598747372627258
Hiking & Camping Tours,Kayaking & Canoeing,0.6584690809249878
National Parks,State Parks,0.6578900814056396
Fountains,Waterfalls,0.6574897766113281
Fishing Charters & Tours,Wine Tours & Tastings,0.6550211906433105
History Museums,Science Museums,0.6537501811981201
Bike Tours,Eco Tours,0.6524060964584351
Ghost & Vampire Tours,Wine Tours & Tastings,0.6513432860374451
Beer Tastings & Tours,Ghost & Vampire Tours,0.6482732892036438
Biking Trails,Horseback Riding Tours,0.6461371183395386
Bus Tours,Food Tours,0.644394040107727
Bus Tours,Horseback Riding Tours,0.644257664680481
Eco Tours,Food Tours,0.6434588432312012
Bus Tours,Walking Tours,0.643353283405304
Art Galleries,Art Museums,0.6425347924232483
Parks,Zoos,0.6408781409263611
Natural History Museums,Specialty Museums,0.640761137008667
Bike Tours,Ski & Snow Tours,0.6376016139984131
Bike Tours,Walking Tours,0.6361459493637085
Equestrian Trails,Horse Tracks,0.6335723996162415
National Parks,Theme Parks,0.6320238709449768
Air Tours,Helicopter Tours,0.6303931474685669
Lighthouses,Marinas,0.6295657157897949
Art Museums,Natural History Museums,0.6290879845619202
Equestrian Trails,Off-Road & ATV Trails,0.6288761496543884
Disney Parks & Activities,Zipline & Aerial Adventure Parks,0.6288641691207886
Day Trips,Multi-day Tours,0.628703236579895
Factory Tours,Helicopter Tours,0.6286542415618896
Aquariums,Lighthouses,0.6283560395240784
Sports Complexes,Water Sports,0.6281043291091919
Climbing Tours,Rail Tours,0.6277585625648499
Fishing Charters & Tours,Kayaking & Canoeing,0.6273822784423828
Parks,State Parks,0.625874936580658
Hiking Trails,Sightseeing Tours,0.6237785220146179
Ski & Snow Tours,Wine Tours & Tastings,0.6226131916046143
History Museums,Natural History Museums,0.6207552552223206
"Bar, Club & Pub Tours",Beer Tastings & Tours,0.6193115711212158
Bus Transportation,Mass Transportation Systems,0.6171296834945679
Beer Tastings & Tours,Hiking & Camping Tours,0.6167523860931396
"Bar, Club & Pub Tours",Wine Tours & Tastings,0.6157213449478149
Playgrounds,Tramways,0.6153717637062073
Beer Tastings & Tours,Fishing Charters & Tours,0.6123183965682983
Bike Tours,Photography Tours,0.6120401620864868
"Bar, Club & Pub Tours",Jazz Clubs & Bars,0.6113846302032471
Climbing Tours,Photography Tours,0.6086413860321045
Climbing Tours,Ski & Snow Tours,0.6062964200973511
Spas,Zoos,0.6058428287506104
Boat Tours,Food Tours,0.6044578552246094
Monuments & Statues,Nature & Wildlife Areas,0.604292094707489
Other Outdoor Activities,Rides & Activities,0.6037936210632324
Bus Tours,Private Tours,0.6036057472229004
Wine Tours & Tastings,Wineries & Vineyards,0.6035033464431763
State Parks,Theme Parks,0.6030166149139404
Photography Tours,Private Tours,0.6010392904281616
City Tours,Walking Tours,0.6008616089820862
Canyons,Playgrounds,0.6005269289016724
Monuments & Statues,Nature & Wildlife Tours,0.5997158288955688
Lookouts,Playgrounds,0.5992083549499512
Military Museums,Science Museums,0.5986344814300537
Aquariums,Marinas,0.598046064376831
Marinas,Piers & Boardwalks,0.5979931354522705
"Literary, Art & Music Tours",Movie & TV Tours,0.597392201423645
Hiking Trails,Walking Tours,0.5971620082855225
Cultural Tours,Eco Tours,0.596778392791748
Sightseeing Tours,Walking Tours,0.5961788296699524
Kayaking & Canoeing,Scuba & Snorkeling,0.5961010456085205
Beer Tastings & Tours,Ski & Snow Tours,0.595565140247345
Multi-day Tours,Photography Tours,0.5953653454780579
Movie & TV Tours,Photography Tours,0.5951849818229675
City Tours,Food Tours,0.5943548679351807
Photography Tours,Ski & Snow Tours,0.5941814184188843
Cultural Tours,Photography Tours,0.5939049124717712
Boat Rentals,Marinas,0.5932900309562683
Boat Rentals,Boat Tours,0.5928521752357483
Playgrounds,Zoos,0.5925657153129578
Gear Rentals,Playgrounds,0.5915942192077637
Marinas,River Rafting & Tubing,0.5913597941398621
Bike Tours,Helicopter Tours,0.591238260269165
Climbing Tours,Helicopter Tours,0.5892696380615234
"Bar, Club & Pub Tours",Bars & Clubs,0.5890046954154968
Distillery Tours,Wine Tours & Tastings,0.5885730981826782
River Rafting & Tubing,Wine Tours & Tastings,0.5883522033691406
Biking Trails,Hiking Trails,0.5883077383041382
City Tours,Eco Tours,0.5877565145492554
Beer Tastings & Tours,River Rafting & Tubing,0.5870538353919983
Beer Tastings & Tours,Distillery Tours,0.5867995023727417
Lookouts,Zoos,0.5867773294448853
Lighthouses,Lookouts,0.5867002010345459
Bus Tours,Eco Tours,0.5863658785820007
Night Tours,Photography Tours,0.5861471891403198
Bike Tours,Climbing Tours,0.585791826248169
Photography Tours,Self-Guided Tours & Rentals,0.5854527354240417
Kayaking & Canoeing,Wine Tours & Tastings,0.5851602554321289
Aquariums,Zoos,0.5846138000488281
Beach & Pool Clubs,Health/Fitness Clubs & Gyms,0.5840871334075928
Bus Tours,City Tours,0.583688497543335
Canyoning & Rappelling Tours,Climbing Tours,0.5829981565475464
Boat Tours,Bus Tours,0.5827105641365051
Cigar Bars,Wine Bars,0.581009566783905
Bike Tours,Wine Tours & Tastings,0.5807840824127197
Bus Tours,Cultural Tours,0.57912278175354
State Parks,Water Parks,0.5790733098983765
Bike Tours,Food Tours,0.5789837837219238
Private Tours,Walking Tours,0.5784610509872437
Air Tours,Photography Tours,0.5784125924110413
Helicopter Tours,Ski & Snow Tours,0.5781673789024353
Rail Tours,Railways,0.5778505206108093
Bike Tours,City Tours,0.5756471753120422
Historical & Heritage Tours,Wine Tours & Tastings,0.5746628046035767
Food Tours,Private Tours,0.5745995044708252
Factory Tours,Rail Tours,0.5738074779510498
Adrenaline & Extreme Tours,Ski & Snow Tours,0.5736039280891418
Distillery Tours,Photography Tours,0.5732048749923706
Children's Museums,Historical & Heritage Tours,0.5729840993881226
Air Tours,Bike Tours,0.5727119445800781
Hiking & Camping Tours,Hiking Trails,0.5720445513725281
Scenic Walking Areas,Sightseeing Tours,0.5706738233566284
National Parks,Water Parks,0.5704857110977173
Scenic Drives,Scenic Railroads,0.5692038536071777
Horseback Riding Tours,Rides & Activities,0.5686892867088318
Bus Tours,Wine Tours & Tastings,0.5684682130813599
Fishing Charters & Tours,Ski & Snow Tours,0.5683481693267822
Aquariums,Playgrounds,0.5682758092880249
Boat Rentals,Ferries,0.568200945854187
Fishing Charters & Tours,Nature & Wildlife Tours,0.5677772760391235
Bike Tours,Cultural Tours,0.5675411224365234
River Rafting & Tubing,Scuba & Snorkeling,0.5673469305038452
City Tours,Cultural Tours,0.5672414302825928
City Tours,Private Tours,0.5668627023696899
Conference & Convention Centers,Game & Entertainment Centers,0.5666755437850952
Bars & Clubs,Jazz Clubs & Bars,0.5666323304176331
River Rafting & Tubing,Zipline & Aerial Adventure Parks,0.5664817094802856
Boat Tours,Speed Boats Tours,0.5651273131370544
Climbing Tours,Multi-day Tours,0.5651090145111084
Photography Tours,Rail Tours,0.565036952495575
Food Tours,Walking Tours,0.5638222098350525
Aquariums,Gear Rentals,0.5638160705566406
Air Tours,Eco Tours,0.5638028383255005
Arenas & Stadiums,Monuments & Statues,0.5632537603378296
Fishing Charters & Tours,Zipline & Aerial Adventure Parks,0.563172459602356
Marinas,Wine Tours & Tastings,0.5622254610061646
Hiking Trails,Scenic Walking Areas,0.5620340704917908
Rail Tours,Scenic Railroads,0.5617715120315552
Bridges,Marinas,0.5613813996315002
Air Tours,Private Tours,0.5610208511352539
Gear Rentals,Tramways,0.5606286525726318
Food & Drink Festivals,Other Food & Drink,0.5602431297302246
