id,url,name,description,image,segmentName,genreName,dateTitle,dateSubTitle,streetAddress,addressLocality,addressRegion,postalCode,addressCountry,placeUrl,offer,priceRanges,performers,city
vvG1IZb8xdpPrw,https://www.ticketmaster.com/snapdragon-stadium-tours-san-diego-california-10-28-2024/event/0A006108835A57B2,Snapdragon Stadium Tours,"Snapdragon Stadium Tours | Mon 10/28 | Snapdragon Stadium, San Diego, CA",https://s1.ticketm.net/dam/a/c52/876cd107-22d0-449f-a80d-7cc8d9654c52_RECOMENDATION_16_9.jpg,Miscellaneous,Undefined,28-10-2024,Mon,2101 Stadium Way,San Diego,CA,92108,US,https://www.ticketmaster.com/snapdragon-stadium-tickets-san-diego/venue/82847,"{'offerUrl': 'https://www.ticketmaster.com/snapdragon-stadium-tours-san-diego-california-10-28-2024/event/0A006108835A57B2', 'availabilityStarts': '', 'price': 30, 'priceCurrency': 'USD'}","[{'currency': 'USD', 'min': 30}]","[{'name': 'Snapdragon Stadium Tours', 'url': 'https://www.ticketmaster.com/snapdragon-stadium-tours-tickets/artist/3060631'}]",San Diego
vvG1IZ9gJLc-yP,https://www.ticketmaster.com/petco-park-tours-san-diego-california-10-28-2024/event/0A005F599FB61E65,Petco Park Tours,"Petco Park Tours | Mon 10/28 | Petco Park, San Diego, CA",https://s1.ticketm.net/dam/a/2e7/4adeb98b-b8c3-4668-9d0e-656f821642e7_1427701_RETINA_PORTRAIT_16_9.jpg,Sports,Baseball,28-10-2024,TBA,100 Park Blvd,San Diego,CA,92101,US,https://www.ticketmaster.com/petco-park-tickets-san-diego/venue/82561,"{'offerUrl': 'https://www.ticketmaster.com/petco-park-tours-san-diego-california-10-28-2024/event/0A005F599FB61E65', 'availabilityStarts': '2023-10-25T19:30:00Z', 'price': 25, 'priceCurrency': 'USD'}","[{'currency': 'USD', 'min': 25}]","[{'name': 'Petco Park Tours', 'url': 'https://www.ticketmaster.com/petco-park-tours-tickets/artist/1826325'}]",San Diego
vvG1IZbCCLGvW2,https://www.ticketmaster.com/the-phantom-of-the-opera-1925-san-diego-california-10-28-2024/event/0A0060E39F301F4F,"The Phantom of the Opera (1925), played by Russ Peck ","The Phantom of the Opera (1925), played by Russ Peck | Mon 10/28 @ 7:00pm | Balboa Theatre, San Diego, CA",https://s1.ticketm.net/dam/e/67d/96b56031-3a11-4fe1-bf0b-4fd9ea27e67d_RECOMENDATION_16_9.jpg,Arts & Theatre,Theatre,28-10-2024,Mon 7:00pm,868 Fourth Avenue,San Diego,CA,92101,US,https://www.ticketmaster.com/balboa-theatre-tickets-san-diego/venue/82668,"{'offerUrl': 'https://www.ticketmaster.com/the-phantom-of-the-opera-1925-san-diego-california-10-28-2024/event/0A0060E39F301F4F', 'availabilityStarts': '2024-07-12T17:00:00Z', 'price': 15, 'priceCurrency': 'USD'}","[{'currency': 'USD', 'min': 15}]","[{'name': 'Silent Movie Mondays at the Balboa', 'url': 'https://www.ticketmaster.com/silent-movie-mondays-at-the-balboa-tickets/artist/3174613'}, {'name': 'Cinema @ The Balboa', 'url': 'https://www.ticketmaster.com/cinema-the-balboa-tickets/artist/2160578'}]",San Diego
vv170ZboGkTX_MM2,https://concerts.livenation.com/premier-parking-luh-tyler-not-a-santa-ana-california-10-28-2024/event/0900611FFE677DCF,Premier Parking - Luh Tyler - Not A Concert Ticket,"Premier Parking - Luh Tyler - Not A Concert Ticket | Mon 10/28 @ 7:00pm | Constellation Room, Santa Ana, CA",https://s1.ticketm.net/dam/a/8e4/5748bfe8-9dee-46e2-a8c6-9f44ee52b8e4_1200441_RECOMENDATION_16_9.jpg,Miscellaneous,Undefined,28-10-2024,Mon 7:00pm,3503 South Harbor Boulevard,Santa Ana,CA,92704,US,https://www.ticketmaster.com/constellation-room-tickets-santa-ana/venue/74683,"{'offerUrl': 'https://concerts.livenation.com/premier-parking-luh-tyler-not-a-santa-ana-california-10-28-2024/event/0900611FFE677DCF', 'availabilityStarts': '2024-09-11T19:00:00Z', 'price': 10, 'priceCurrency': 'USD'}","[{'currency': 'USD', 'min': 10}]","[{'name': 'Live Nation Premier Parking', 'url': 'https://www.ticketmaster.com/live-nation-premier-parking-tickets/artist/2461863'}, {'name': 'LN Parking', 'url': 'https://www.ticketmaster.com/ln-parking-tickets/artist/2701831'}]",San Diego
vv170ZboGkUDZf_5,https://concerts.livenation.com/luh-tyler-mr-skii-tour-santa-ana-california-10-28-2024/event/0900611DBB01464B,Luh Tyler - Mr Skii Tour,"Luh Tyler - Mr Skii Tour | Mon 10/28 @ 7:00pm | Constellation Room, Santa Ana, CA",https://s1.ticketm.net/dam/a/85d/a7846805-ceee-450d-9af0-9ed269f9a85d_RECOMENDATION_16_9.jpg,Music,Hip-Hop/Rap,28-10-2024,Mon 7:00pm,3503 South Harbor Boulevard,Santa Ana,CA,92704,US,https://www.ticketmaster.com/constellation-room-tickets-santa-ana/venue/74683,"{'offerUrl': 'https://concerts.livenation.com/luh-tyler-mr-skii-tour-santa-ana-california-10-28-2024/event/0900611DBB01464B', 'availabilityStarts': '2024-09-13T17:00:00Z', 'price': 20, 'priceCurrency': 'USD'}","[{'currency': 'USD', 'min': 20}]","[{'name': 'Luh Tyler', 'url': 'https://www.ticketmaster.com/luh-tyler-tickets/artist/3000959'}, {'name': 'Babyfxce E', 'url': 'https://www.ticketmaster.com/babyfxce-e-tickets/artist/3224774'}, {'name': 'Sugarhill Ddot', 'url': 'https://www.ticketmaster.com/sugarhill-ddot-tickets/artist/2959566'}]",San Diego
rZ7HnEZ1AKQ_4S,https://www.ticketweb.com/event/aimee-mann-jonathan-coulton-belly-up-tickets/13699573,"Aimee Mann, Jonathan Coulton","Aimee Mann, Jonathan Coulton | Mon 10/28 @ 8:00pm | Belly Up, Solana Beach, CA",https://s1.ticketm.net/dam/a/531/4dc6c858-fddf-433a-9bd5-3cfc5f0da531_RECOMENDATION_16_9.jpg,Music,Rock,28-10-2024,Mon 8:00pm,143 S. Cedros Ave,Solana Beach,CA,92075,US,https://www.ticketweb.com/venue/belly-up-solana-beach-ca/432305,"{'offerUrl': 'https://www.ticketweb.com/event/aimee-mann-jonathan-coulton-belly-up-tickets/13699573', 'availabilityStarts': '2024-06-21T17:00:00Z', 'price': 0, 'priceCurrency': 'USD'}","[{'currency': 'USD', 'min': 0}]","[{'name': 'Aimee Mann', 'url': 'https://www.ticketmaster.com/aimee-mann-tickets/artist/762729'}, {'name': 'Jonathan Coulton', 'url': 'https://www.ticketmaster.com/jonathan-coulton-tickets/artist/1165320'}]",San Diego
rZ7HnEZ1AK4o00,https://www.ticketweb.com/event/the-tom-kubis-big-band-gaslamp-long-beach-tickets/13551924,THE TOM KUBIS BIG BAND,"THE TOM KUBIS BIG BAND | Mon 10/28 @ 8:00pm | Gaslamp Long Beach, Long Beach, CA",https://s1.ticketm.net/dam/c/bea/03d47f66-d37b-4aca-aa17-0135be64dbea_105801_RECOMENDATION_16_9.jpg,Music,Jazz,28-10-2024,Mon 8:00pm,6251 East Pacific Coast Highway,Long Beach,CA,90803,US,https://www.ticketweb.com/venue/gaslamp-long-beach-long-beach-ca/252754,"{'offerUrl': 'https://www.ticketweb.com/event/the-tom-kubis-big-band-gaslamp-long-beach-tickets/13551924', 'availabilityStarts': '2024-05-29T00:40:00Z', 'price': 24.12, 'priceCurrency': 'USD'}","[{'currency': 'USD', 'min': 24.12}]",[],San Diego
Z7r9jZ1A7uUGd,https://www.ticketmaster.com/event/Z7r9jZ1A7uUGd,T-Pain,"T-Pain | Mon 10/28 @ 8:00pm | Yaamava' Resort & Casino at San Manuel, Highland, CA",https://s1.ticketm.net/dam/a/135/0dcf5202-3407-49cd-894e-ba06f7527135_RECOMENDATION_16_9.jpg,Music,Other,28-10-2024,Mon 8:00pm,777 San Manuel Blvd.,Highland,CA,92346,US,https://www.ticketmaster.com/yaamava-resort-casino-at-san-manuel-tickets-highland/venue/ZFr9jZAvFe,"{'offerUrl': 'https://www.ticketmaster.com/event/Z7r9jZ1A7uUGd', 'availabilityStarts': '1900-01-01T06:00:00Z', 'price': None, 'priceCurrency': None}",[],"[{'name': 'T-Pain', 'url': 'https://www.ticketmaster.com/t-pain-tickets/artist/1132000'}]",San Diego
vv1ke8v-paGACYAJI,https://www.ticketmaster.com/testing-promo-packs9-do-not-purchase-anaheim-california-10-28-2024/event/090061589EC059A8,Testing Promo Packs9 - Do Not Purchase,"Testing Promo Packs9 - Do Not Purchase | Mon 10/28 @ 11:00pm | Honda Center, Anaheim, CA",https://s1.ticketm.net/dam/c/61c/37e6dc36-b80c-45a5-9bc5-960c7a98161c_106321_RECOMENDATION_16_9.jpg,Sports,Hockey,28-10-2024,Mon 11:00pm,2695 E. Katella,Anaheim,CA,92806,US,https://www.ticketmaster.com/honda-center-tickets-anaheim/venue/73797,"{'offerUrl': 'https://www.ticketmaster.com/testing-promo-packs9-do-not-purchase-anaheim-california-10-28-2024/event/090061589EC059A8', 'availabilityStarts': '2024-10-24T21:00:00Z', 'price': 8.5, 'priceCurrency': 'USD'}","[{'currency': 'USD', 'min': 8.5}]",[],San Diego
vvG1IZb8xd9PrM,https://www.ticketmaster.com/snapdragon-stadium-tours-san-diego-california-10-29-2024/event/0A006108835E57B7,Snapdragon Stadium Tours,"Snapdragon Stadium Tours | Tue 10/29 | Snapdragon Stadium, San Diego, CA",https://s1.ticketm.net/dam/a/c52/876cd107-22d0-449f-a80d-7cc8d9654c52_RECOMENDATION_16_9.jpg,Miscellaneous,Undefined,29-10-2024,Tue,2101 Stadium Way,San Diego,CA,92108,US,https://www.ticketmaster.com/snapdragon-stadium-tickets-san-diego/venue/82847,"{'offerUrl': 'https://www.ticketmaster.com/snapdragon-stadium-tours-san-diego-california-10-29-2024/event/0A006108835E57B7', 'availabilityStarts': '', 'price': 30, 'priceCurrency': 'USD'}","[{'currency': 'USD', 'min': 30}]","[{'name': 'Snapdragon Stadium Tours', 'url': 'https://www.ticketmaster.com/snapdragon-stadium-tours-tickets/artist/3060631'}]",San Diego
vvG1IZ9gJLmvyS,https://www.ticketmaster.com/petco-park-tours-san-diego-california-10-29-2024/event/0A005F599FB81E73,Petco Park Tours,"Petco Park Tours | Tue 10/29 | Petco Park, San Diego, CA",https://s1.ticketm.net/dam/a/2e7/4adeb98b-b8c3-4668-9d0e-656f821642e7_1427701_RETINA_PORTRAIT_16_9.jpg,Sports,Baseball,29-10-2024,TBA,100 Park Blvd,San Diego,CA,92101,US,https://www.ticketmaster.com/petco-park-tickets-san-diego/venue/82561,"{'offerUrl': 'https://www.ticketmaster.com/petco-park-tours-san-diego-california-10-29-2024/event/0A005F599FB81E73', 'availabilityStarts': '2023-10-25T19:30:00Z', 'price': 25, 'priceCurrency': 'USD'}","[{'currency': 'USD', 'min': 25}]","[{'name': 'Petco Park Tours', 'url': 'https://www.ticketmaster.com/petco-park-tours-tickets/artist/1826325'}]",San Diego
