subcategory_1,subcategory_2,similarity
Children's Music,Children's Theatre,0.673587441444397
Fine Art,Performance Art,0.6666725873947144
Children's Theatre,Theatre,0.662574052810669
Children's Theatre,Miscellaneous Theatre,0.6337946653366089
Miscellaneous Theatre,Theatre,0.6140722632408142
Community/Civic,Hip-Hop/Rap,0.5965213179588318
Martial Arts,Wrestling,0.5933132767677307
Martial Arts,Roller Derby,0.5862351655960083
Action/Adventure,Community/Civic,0.5859472751617432
Action/Adventure,Lecture/Seminar,0.5859311819076538
Dance/Electronic,Hip-Hop/Rap,0.5846388339996338
Basketball,Rock,0.5777775049209595
Reggae,Rodeo,0.5690617561340332
Basketball,Jazz,0.5630022287368774
Community/Civic,Motorsports/Racing,0.5596095323562622
Boxing,Martial Arts,0.5581550598144531
Hip-Hop/Rap,Motorsports/Racing,0.5391887426376343
Roller Derby,Volleyball,0.5389066338539124
Martial Arts,Rodeo,0.5303844213485718
Comedy,Dance,0.5273879766464233
Community/Civic,Dance/Electronic,0.526820182800293
Rodeo,Roller Derby,0.5257304906845093
Action/Adventure,Dance/Electronic,0.5254981517791748
Children's Music,Music,0.5238728523254395
Ice Shows,Ice Skating,0.512628436088562
Ice Shows,Roller Derby,0.5122134685516357
Blues,Jazz,0.51063072681427
Rodeo,Wrestling,0.5096710920333862
Action/Adventure,Hip-Hop/Rap,0.5075571537017822
Pop,Rock,0.5036519765853882
Basketball,Dance,0.5012664794921875
Boxing,Rodeo,0.4977612793445587
Roller Derby,Wrestling,0.4928591251373291
Blues,Rock,0.4909328818321228
Miscellaneous,Miscellaneous Theatre,0.48783019185066223
Equestrian,Rodeo,0.48764461278915405
Volleyball,Wrestling,0.48677974939346313
Blues,Fine Art,0.4866481423377991
Martial Arts,Volleyball,0.4850285053253174
Dance,Rock,0.4837680757045746
Community/Civic,Psychics/Mediums/Hypnotists,0.478087842464447
Dance/Electronic,Motorsports/Racing,0.47752100229263306
Basketball,Comedy,0.47278785705566406
Children's Theatre,Fairs & Festivals,0.472400963306427
Circus & Specialty Acts,Fairs & Festivals,0.4715079963207245
Dance/Electronic,Hobby/Special Interest Expos,0.46984535455703735
Dance,Hip-Hop/Rap,0.46779292821884155
